Rank,Rank_range,Company,Company_eng,Valuation,Leader,Headquarter,Industry,Select Investors
1,→,蚂蚁金服,Ant Financial,10000,井贤栋,杭州,互联网金融,春华资本、中投海外、红杉资本
2,3↑,今日头条,Toutiao,5000,张一鸣,北京,文化娱乐,红杉资本、海纳亚洲、纪源资本
3,1↓,滴滴出行,Didi Chuxing,3000,程维,北京,互联网服务,腾讯、阿里巴巴、红杉资本、经纬中国
4,1↑,陆金所,Lufax,2500,计葵生,上海,互联网金融,摩根士丹利、中银集团、国泰君安（香港）
5,8↑,微众银行,WeBank,1500,顾敏,深圳,互联网金融,华平投资、淡马锡
6,3↑,菜鸟网络,Cainiao,1000,童文红,杭州,物流服务,GIC、淡马锡、春华资本
6,2↑,大疆,DJI,1000,汪滔,深圳,机器人,Accel、红杉资本、麦星投资
6,3↑,京东数字科技,JDDigits,1000,陈生强,北京,互联网服务,红杉资本、嘉实投资、中国太平
6,16↑,快手,Kuaishou,1000,宿华,北京,文化娱乐,红杉资本、晨兴资本、百度、腾讯
10,New,京东物流,JD Logistics,800,王振辉,北京,物流服务,高瓴资本、红杉资本、腾讯
11,New,比特大陆,Bitmain,500,吴忌寒,北京,区块链,红杉资本、IDG
11,11↑,车好多,Cars,500,杨浩涌,北京,互联网服务,红杉资本、今日资本、IDG、经纬中国
11,New,金融壹账通,OneConnect,500,叶望春,上海,互联网金融,未透露
11,24↑,美菜网,Meicai,500,刘传军,北京,电子商务,顺为资本、纪源资本、真格基金
11,New,平安医保科技,Ping An HealthKonnect,500,高菁,上海,医疗健康,IDG、思佰益、软银海外
11,New,苏宁金服,Suning Finance,500,张近东,南京,互联网金融,光大控股、深创投
17,4↓,链家,Homelink,400,左晖,北京,房产服务,融创、万科、腾讯、经纬中国
17,18↑,满帮,Full Truck Alliance,400,王刚,南京,物流服务,腾讯、红杉资本、光速中国、高瓴资本
17,18↑,商汤科技,SenseTime,400,徐立,北京,人工智能,鼎晖、IDG、中金公司
17,4↓,神州优车,UCAR ,400,陆正耀,天津,互联网服务,云锋投资、云岭投资、中金公司
17,18↑,微医,We Doctor,400,廖杰远,杭州,医疗健康,红杉资本、高盛、腾讯、启明创投、高瓴资本
22,48↑,达达-京东到家,New Dada,300,蒯佳祺,上海,物流服务,红杉资本、DST、京东
22,6↓,联影医疗,United Imaging,300,薛敏,上海,医疗健康,中国人寿、国投创新
22,→,柔宇科技,Royole,300,刘自鸿,深圳,智能硬件,中信产业基金、基石资本、IDG
22,6↓,威马汽车,WM Motor,300,沈晖,上海,汽车交通,远景能源、红杉资本
22,New,小鹏汽车,Xpeng Motors,300,何小鹏,广州,汽车交通,晨兴资本、IDG、经纬中国、顺为资本、阿里巴巴、纪源资本
22,6↓,优必选,Ubtech,300,周剑,深圳,机器人,启明创投、科大讯飞、鼎晖投资、腾讯
28,New,360企业安全,360 ESG,200,齐向东,北京,互联网服务,IDG资本、中信建投资本、华兴创投
28,6↓,Face++,Face++,200,印奇,北京,人工智能,启明创投、联想之星、建银国际、蚂蚁金服
28,7↑,VIPKID,VIPKID,200,米雯娟,北京,教育,云锋基金、红杉资本、真格基金、腾讯、经纬中国
28,New,博纳影业,Bona film,200,于冬,北京,文化娱乐,红杉资本、SIG、经纬中国、阿里巴巴、万达院线、腾讯
28,6↓,大地影院,Dadi Digital Cinema,200,刘荣,深圳,文化娱乐,阿里影业
28,New,大搜车,Souche,200,姚军红,北京,互联网服务,晨兴资本、红杉资本、阿里巴巴
28,New,地平线机器人,Horizon Robotics,200,余凯,北京,人工智能,真格基金、红杉资本、高瓴资本
28,7↑,斗鱼,Douyu,200,陈少杰,武汉,文化娱乐,红杉资本、腾讯、南山资本
28,New,度小满金融,Du Xiaoman Financial,200,朱光,北京,互联网金融,TPG、凯雷投资，泰康集团、农银国际
28,6↓,复宏汉霖,Henlius,200,刘世高,上海,医疗健康,华盖资本
28,New,汇通达,Huitongda,200,徐秀贤,南京,电子商务,毅达资本、紫金资本、顺为资本
28,New,跨越速运,Kuayue Express,200,胡永,深圳,物流服务,红杉资本
28,7↑,猫眼微影,Maoyan,200,王长田,北京,互联网服务,光线传媒、美团、腾讯
28,New,每日优鲜,Missfresh,200,徐正,北京,电子商务,光信资本、腾讯、浙商创投
28,New,奇点汽车,Singulato,200,沈海寅,北京,汽车交通,光信资本、奇虎360
28,7↑,喜马拉雅,Himalaya,200,余建军,上海,文化娱乐,SIG、Sierra Ventures、前海兴旺
28,42↑,小红书,Xiaohongshu,200,毛文超,上海,电子商务,腾讯、真格基金、纪源资本
28,7↑,一下科技,Yixia ,200,韩坤,北京,互联网服务,新浪、红点创投、红杉资本、晨兴资本
28,7↑,易果生鲜,Yiguo,200,金光磊,上海,电子商务,阿里巴巴、高盛
28,6↓,银联商务,China UMS,200,田林 ,上海,互联网金融,光际资本、IDG
28,7↑,优客工场,UrWork,200,毛大庆,北京,互联网服务,易凯资本、真格基金、红杉资本
28,New,游侠汽车,Youxia,200,卫俊,上海,汽车交通,前海梧桐、中创海洋
28,42↑,猿辅导,Yuanfudao,200,李勇,北京,教育,IDG、经纬中国、腾讯
28,New,云从科技,Cloudwalk,200,周曦,广州,人工智能,顺为资本、元禾原点、前海兴旺
28,New,自如,Ziroom,200,左晖,北京,互联网服务,华平投资、红杉资本、腾讯
28,New,作业帮,Zuoyebang,200,侯建彬,北京,教育,纪源资本、H Capital、红杉资本
54,New,灿星,Canxing,150,田明,上海,文化娱乐,阿里巴巴、腾讯、华人文化
54,New,哈啰出行,Hellobike,150,杨磊,上海,互联网服务,纪源资本、磐谷创投、愉悦资本、蚂蚁金服
54,16↑,寒武纪科技,Cambricon,150,陈天石,北京,智能硬件,国投创业、阿里巴巴、联想创投
54,New,合全药业,Syntheall,150,李革,上海,医疗健康,红杉资本
54,New,嘉楠耘智,Canaan,150,张楠赓,杭州,区块链,锦江集团、暾澜资本
54,New,名创优品,Miniso,150,叶国富,广州,新零售,腾讯、高瓴资本
